Rank,Name,City,Code,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Lower,SAT Upper,ACT Lower,ACT Upper,Website,lat,lon,State
1,Harvard University,Cambridge,MA,Private,13844,31120,14327.0,49870.0,69600,146800.0,5.0,1460.0,1590.0,32.0,35.0,www.harvard.edu,42.3750997,-71.1056157,Massachusetts
2,Stanford University,Stanford,CA,Private,8402,17534,13261.0,50134.0,69109,145200.0,5.0,1390.0,1540.0,32.0,35.0,www.stanford.edu,37.426540700000004,-122.1702926,California
3,Yale University,New Haven,CT,Private,6483,12974,18627.0,50897.0,71290,138300.0,7.0,1460.0,1580.0,32.0,35.0,www.yale.edu,41.3082138,-72.92505179999999,Connecticut
4,Massachusetts Institute of Technology,Cambridge,MA,Private,4680,11466,20771.0,43248.0,67430,155200.0,7.0,1490.0,1570.0,33.0,35.0,www.web.mit.edu,42.3750997,-71.1056157,Massachusetts
5,Princeton University,Princeton,NJ,Private,5659,8273,9327.0,48088.0,66150,139400.0,6.0,1430.0,1570.0,31.0,35.0,www.princeton.edu,40.3492744,-74.6592958,New Jersey
6,University of Pennsylvania,Philadelphia,PA,Private,13437,25367,24242.0,44801.0,71715,133900.0,9.0,1420.0,1560.0,32.0,35.0,www.upenn.edu,39.9527237,-75.16352619999999,Pennsylvania
7,Brown University,Providence,RI,Private,7390,10095,30205.0,42455.0,71050,127600.0,8.0,1405.0,1570.0,31.0,35.0,www.brown.edu,41.8239891,-71.4128343,Rhode Island
8,California Institute of Technology,Pasadena,CA,Private,1002,2238,24245.0,41408.0,68901,151600.0,8.0,1530.0,1590.0,34.0,35.0,www.caltech.edu,34.14764520000001,-118.14447790000001,California
9,Duke University,Durham,NC,Private,7184,16130,35737.0,47836.0,71764,132100.0,10.0,1380.0,1540.0,31.0,35.0,www.duke.edu,35.996653,-78.90180529999999,North Carolina
10,Dartmouth College,Hanover,NH,Private,4693,6509,30421.0,47171.0,71827,130900.0,10.0,1430.0,1560.0,30.0,34.0,www.dartmouth.edu,43.703621999999996,-72.288666,New Hampshire
11,Cornell University,Ithaca,NY,Private,14774,23016,31230.0,36164.0,70321,128200.0,13.0,1390.0,1550.0,31.0,34.0,www.cornell.edu,42.4396039,-76.49680190000001,New York
12,Pomona College,Claremont,CA,Private,1599,1665,15840.0,48930.0,69725,117200.0,8.0,1370.0,1530.0,30.0,34.0,www.pomona.edu,34.0966764,-117.71977849999999,California
13,"University of California, Berkeley",Berkeley,CA,Public,31133,41891,15859.0,18319.0,65003,131800.0,17.0,1260.0,1480.0,30.0,34.0,www.berkeley.edu,37.8708393,-122.27286389999999,California
14,Columbia University,New York,NY,Private,8523,30454,24231.0,49185.0,74199,126800.0,7.0,1410.0,1570.0,31.0,34.0,www.columbia.edu,40.7127281,-74.0060152,New York
