Rank,Name,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate
1.0,Harvard University,13844.0,31120.0,14327.0,49870.0,69600.0,146800.0,5.0
2.0,Stanford University,8402.0,17534.0,13261.0,50134.0,69109.0,145200.0,5.0
3.0,Yale University,6483.0,12974.0,18627.0,50897.0,71290.0,138300.0,7.0
4.0,Massachusetts Institute of Technology,4680.0,11466.0,20771.0,43248.0,67430.0,155200.0,7.0
5.0,Princeton University,5659.0,8273.0,9327.0,48088.0,66150.0,139400.0,6.0
6.0,University of Pennsylvania,13437.0,25367.0,24242.0,44801.0,71715.0,133900.0,9.0
7.0,Brown University,7390.0,10095.0,30205.0,42455.0,71050.0,127600.0,8.0
8.0,California Institute of Technology,1002.0,2238.0,24245.0,41408.0,68901.0,151600.0,8.0
9.0,Duke University,7184.0,16130.0,35737.0,47836.0,71764.0,132100.0,10.0
10.0,Dartmouth College,4693.0,6509.0,30421.0,47171.0,71827.0,130900.0,10.0
11.0,Cornell University,14774.0,23016.0,31230.0,36164.0,70321.0,128200.0,13.0
12.0,Pomona College,1599.0,1665.0,15840.0,48930.0,69725.0,117200.0,8.0
13.0,"University of California, Berkeley",31133.0,41891.0,15859.0,18319.0,65003.0,131800.0,17.0
14.0,Columbia University,8523.0,30454.0,24231.0,49185.0,74199.0,126800.0,7.0
15.0,Georgetown University,8194.0,19005.0,30107.0,41893.0,71580.0,122200.0,16.0
16.0,University of Chicago,6915.0,16227.0,25455.0,37883.0,75735.0,114200.0,9.0
17.0,Northwestern University,10163.0,22008.0,24047.0,44247.0,72980.0,115400.0,9.0
18.0,University of Notre Dame,8664.0,12467.0,28768.0,39590.0,69395.0,130500.0,19.0
19.0,Williams College,2134.0,2227.0,22667.0,48050.0,70650.0,127500.0,15.0
20.0,"University of Michigan, Ann Arbor",29773.0,46002.0,14860.0,18751.0,62176.0,112200.0,27.0
21.0,Rice University,4036.0,7022.0,20237.0,36387.0,63158.0,129500.0,16.0
22.0,Johns Hopkins University,7825.0,25151.0,33586.0,38542.0,69863.0,117100.0,13.0
23.0,Harvey Mudd College,847.0,861.0,34464.0,33782.0,74428.0,158200.0,15.0
24.0,United States Naval Academy,4495.0,4526.0,0.0,,0.0,152800.0,8.0
25.0,Swarthmore College,1577.0,1630.0,20511.0,46105.0,68846.0,123200.0,11.0
26.0,Bowdoin College,1816.0,1965.0,22810.0,41143.0,68070.0,112000.0,14.0
27.0,Vanderbilt University,7006.0,12592.0,19959.0,41359.0,67392.0,119100.0,11.0
28.0,Amherst College,1836.0,1945.0,22463.0,49467.0,71300.0,116500.0,13.0
29.0,Claremont McKenna College,1345.0,1364.0,26933.0,40673.0,71745.0,125400.0,10.0
30.0,University of Southern California,20582.0,45687.0,30232.0,36686.0,72209.0,120600.0,16.0
31.0,Washington University in St. Louis,8533.0,15303.0,28540.0,41977.0,71975.0,114900.0,16.0
32.0,United States Military Academy,4491.0,4568.0,0.0,,0.0,144000.0,10.0
33.0,University of Virginia,18432.0,24360.0,20547.0,21171.0,62633.0,117500.0,27.0
34.0,Tufts University,5960.0,11449.0,32620.0,38605.0,70600.0,118100.0,15.0
35.0,New York University,30252.0,51123.0,40336.0,31542.0,71790.0,117700.0,28.0
36.0,Middlebury College,2591.0,3855.0,26075.0,43491.0,69464.0,109800.0,17.0
37.0,Carnegie Mellon University,6941.0,13869.0,31102.0,38163.0,70094.0,136100.0,22.0
38.0,"University of California, Los Angeles",33148.0,44027.0,14309.0,20011.0,61915.0,116100.0,16.0
39.0,Bates College,1787.0,1905.0,25192.0,43238.0,68870.0,111900.0,22.0
40.0,Wesleyan University,3123.0,3213.0,29956.0,43276.0,69935.0,117000.0,16.0
41.0,Boston College,10304.0,14628.0,34550.0,40716.0,70588.0,115400.0,32.0
42.0,Washington and Lee University,1855.0,2220.0,24761.0,39671.0,65950.0,123200.0,22.0
43.0,United States Air Force Academy,4237.0,4276.0,0.0,,0.0,138100.0,12.0
44.0,Wellesley College,2508.0,2688.0,23188.0,45777.0,69034.0,106200.0,22.0
45.0,"University of North Carolina, Chapel Hill",19429.0,29911.0,14163.0,17291.0,51152.0,100800.0,24.0
46.0,Colgate University,2894.0,3025.0,23310.0,45108.0,69860.0,130600.0,28.0
47.0,College of William &amp; Mary,6822.0,8740.0,19720.0,18738.0,59012.0,108900.0,36.0
48.0,Davidson College,1810.0,1959.0,21206.0,36359.0,66678.0,106900.0,20.0
49.0,Haverford College,1296.0,1326.0,26607.0,45805.0,71614.0,112300.0,20.0
50.0,Barnard College,2544.0,2668.0,25007.0,44776.0,71282.0,109800.0,15.0
51.0,Santa Clara University,5754.0,8629.0,33738.0,26671.0,69439.0,134700.0,54.0
